nome_join;Name;Win %;Pick %;Ban %;patch
kogmaw;Kog'Maw;50.73;4.24;0.34;2610
ksante;K'Sante;45.77;9.1;2.5;2610
leblanc;LeBlanc;43.9;9.39;13.53;2610
leesin;Lee Sin;47.33;29.42;17.96;2610
leona;Leona;40.87;12.33;5.15;2610
lillia;Lillia;37.73;5.65;1.63;2610
lissandra;Lissandra;48.44;11.08;3.17;2610
lucian;Lucian;41.81;19.34;2.77;2610
lulu;Lulu;45.26;19.82;8.65;2610
lux;Lux;48.78;21.04;2.79;2610
malphite;Malphite;47.69;18.39;19.41;2610
malzahar;Malzahar;45.93;15.2;10.33;2610
maokai;Maokai;49.76;4.15;0.13;2610
masteryi;Master Yi;50.05;16.09;14.88;2610
mel;Mel;43.68;12.0;23.3;2610
milio;Milio;34.62;15.93;5.28;2610
missfortune;Miss Fortune;39.6;13.12;0.72;2610
mordekaiser;Mordekaiser;45.28;11.02;6.98;2610
morgana;Morgana;49.07;9.04;13.88;2610
naafiri;Naafiri;48.95;18.17;33.86;2610
nami;Nami;39.31;28.67;3.27;2610
nasus;Nasus;47.65;8.18;3.43;2610
nautilus;Nautilus;47.31;18.69;12.7;2610
neeko;Neeko;50.29;5.01;0.91;2610
nidalee;Nidalee;46.43;6.23;1.27;2610
nilah;Nilah;43.77;2.51;2.12;2610
nocturne;Nocturne;46.63;16.54;14.18;2610
nunu;Nunu & Willump;44.56;4.97;0.49;2610
olaf;Olaf;49.0;5.9;2.65;2610
orianna;Orianna;45.42;8.0;0.95;2610
ornn;Ornn;49.48;9.57;0.74;2610
pantheon;Pantheon;49.17;14.68;1.57;2610
poppy;Poppy;49.85;6.39;2.5;2610
pyke;Pyke;47.0;13.36;25.04;2610
qiyana;Qiyana;49.8;8.43;2.16;2610
quinn;Quinn;48.2;6.54;1.27;2610
rakan;Rakan;45.2;6.23;0.27;2610
rammus;Rammus;46.6;3.5;3.26;2610
reksai;Rek'Sai;49.93;5.54;1.79;2610
rell;Rell;45.62;6.33;0.82;2610
renata;Renata Glasc;36.43;1.87;0.13;2610
renekton;Renekton;43.54;11.15;4.07;2610
rengar;Rengar;48.81;9.4;9.49;2610
riven;Riven;47.76;8.94;2.68;2610
rumble;Rumble;47.9;5.75;1.44;2610
ryze;Ryze;46.33;8.6;0.79;2610
samira;Samira;40.69;9.35;5.86;2610
sejuani;Sejuani;47.69;3.87;0.14;2610
senna;Senna;45.41;24.69;3.14;2610
seraphine;Seraphine;50.4;25.27;6.17;2610
sett;Sett;48.61;10.13;2.27;2610
shaco;Shaco;45.5;12.37;16.18;2610
shen;Shen;49.91;9.61;1.1;2610
shyvana;Shyvana;45.06;10.93;7.96;2610
singed;Singed;49.7;6.57;1.09;2610
sion;Sion;49.24;13.4;1.21;2610
sivir;Sivir;39.49;7.76;1.78;2610
skarner;Skarner;47.06;3.73;0.26;2610
smolder;Smolder;42.4;41.76;53.21;2610
sona;Sona;41.76;7.21;0.38;2610
soraka;Soraka;44.16;10.9;2.36;2610
swain;Swain;48.41;9.51;1.65;2610
sylas;Sylas;48.46;27.68;11.12;2610
syndra;Syndra;41.17;9.35;2.43;2610
tahmkench;Tahm Kench;48.57;9.0;1.71;2610
taliyah;Taliyah;50.79;5.01;0.38;2610
talon;Talon;47.52;17.06;10.4;2610
taric;Taric;48.27;2.25;0.14;2610
teemo;Teemo;49.39;15.95;8.69;2610
thresh;Thresh;39.95;24.63;6.59;2610
tristana;Tristana;41.92;8.38;0.87;2610
trundle;Trundle;47.24;3.9;0.28;2610
tryndamere;Tryndamere;46.18;7.15;2.01;2610
twistedfate;Twisted Fate;45.88;12.06;1.03;2610
twitch;Twitch;46.3;11.16;5.43;2610
udyr;Udyr;47.53;5.76;1.0;2610
urgot;Urgot;45.74;5.06;0.7;2610
varus;Varus;47.32;15.33;4.54;2610
vayne;Vayne;48.39;19.77;12.66;2610
veigar;Veigar;47.47;9.36;0.85;2610
velkoz;Vel'Koz;43.61;10.01;1.14;2610
vex;Vex;44.57;5.28;2.99;2610
vi;Vi;46.28;10.5;1.27;2610
viego;Viego;48.57;19.23;7.52;2610
viktor;Viktor;48.2;21.76;7.84;2610
vladimir;Vladimir;43.4;14.77;6.4;2610
volibear;Volibear;45.03;8.72;2.05;2610
warwick;Warwick;46.96;8.72;1.47;2610
wukong;Wukong;51.27;12.04;1.24;2610
xayah;Xayah;46.04;6.16;0.43;2610
xerath;Xerath;51.08;20.04;8.28;2610
xinzhao;Xin Zhao;48.27;20.62;7.51;2610
yasuo;Yasuo;45.05;22.38;16.76;2610
yone;Yone;46.14;22.69;4.74;2610
yorick;Yorick;44.95;7.95;6.73;2610
yunara;Yunara;40.43;10.2;1.45;2610
yuumi;Yuumi;31.09;10.77;6.74;2610
zaahen;Zaahen;47.82;5.85;2.29;2610
zac;Zac;49.14;5.99;0.97;2610
zed;Zed;47.89;23.33;30.8;2610
zeri;Zeri;45.21;9.5;0.5;2610
ziggs;Ziggs;41.45;5.1;0.4;2610
zilean;Zilean;51.13;6.62;1.3;2610
zoe;Zoe;46.66;8.22;5.29;2610
zyra;Zyra;49.73;7.34;2.16;2610
